"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"30920",8,32,"spillover2","tt","spillover2 tt",7,0,548,548,80,"Ambiguous","Inconsistent",548
"30922",8,39,"spillover2","tt","spillover2 tt",6,0,446,446,80,"Unambiguous","Consistent",446
"30924",9,29,"spillover2","tt","spillover2 tt",5,0,1204,1204,80,"Ambiguous","Consistent",1204
"30926",9,31,"spillover2","tt","spillover2 tt",7,0,1112,1112,80,"Ambiguous","Inconsistent",1112
"30928",9,44,"spillover2","tt","spillover2 tt",8,0,482,482,80,"Unambiguous","Inconsistent",482
"30930",9,32,"spillover2","tt","spillover2 tt",8,0,786,786,80,"Unambiguous","Inconsistent",786
"30932",9,26,"spillover2","tt","spillover2 tt",6,0,250,250,80,"Unambiguous","Consistent",250
"30934",9,33,"spillover2","tt","spillover2 tt",5,0,360,360,80,"Ambiguous","Consistent",360
"30936",9,47,"spillover2","tt","spillover2 tt",7,0,648,648,80,"Ambiguous","Inconsistent",648
"30938",9,45,"spillover2","tt","spillover2 tt",5,0,402,402,80,"Ambiguous","Consistent",402
"30940",9,37,"spillover2","tt","spillover2 tt",5,0,538,538,80,"Ambiguous","Consistent",538
"30942",9,46,"spillover2","tt","spillover2 tt",6,0,1464,1464,80,"Unambiguous","Consistent",1464
"30944",9,25,"spillover2","tt","spillover2 tt",5,0,1032,1032,80,"Ambiguous","Consistent",1032
"30946",9,40,"spillover2","tt","spillover2 tt",8,0,294,294,80,"Unambiguous","Inconsistent",294
"30948",9,27,"spillover2","tt","spillover2 tt",7,0,820,820,80,"Ambiguous","Inconsistent",820
"30950",9,41,"spillover2","tt","spillover2 tt",5,0,578,578,80,"Ambiguous","Consistent",578
"30952",9,30,"spillover2","tt","spillover2 tt",6,0,260,260,80,"Unambiguous","Consistent",260
"30954",9,38,"spillover2","tt","spillover2 tt",6,0,446,446,80,"Unambiguous","Consistent",446
"30956",9,39,"spillover2","tt","spillover2 tt",7,0,468,468,80,"Ambiguous","Inconsistent",468
"30958",9,43,"spillover2","tt","spillover2 tt",7,0,1048,1048,80,"Ambiguous","Inconsistent",1048
"30960",9,28,"spillover2","tt","spillover2 tt",8,0,894,894,80,"Unambiguous","Inconsistent",894
"30962",9,34,"spillover2","tt","spillover2 tt",6,0,532,532,80,"Unambiguous","Consistent",532
"30964",9,36,"spillover2","tt","spillover2 tt",8,0,294,294,80,"Unambiguous","Inconsistent",294
"30966",9,35,"spillover2","tt","spillover2 tt",7,0,576,576,80,"Ambiguous","Inconsistent",576
"30968",9,48,"spillover2","tt","spillover2 tt",8,0,464,464,80,"Unambiguous","Inconsistent",464
"30970",9,42,"spillover2","tt","spillover2 tt",6,0,510,510,80,"Unambiguous","Consistent",510
"30973",10,30,"spillover2","tt","spillover2 tt",7,0,318,318,80,"Ambiguous","Inconsistent",318
"30975",10,32,"spillover2","tt","spillover2 tt",5,0,766,766,80,"Ambiguous","Consistent",766
"30977",10,41,"spillover2","tt","spillover2 tt",6,0,310,310,80,"Unambiguous","Consistent",310
"30979",10,36,"spillover2","tt","spillover2 tt",5,0,256,256,80,"Ambiguous","Consistent",256
"30981",10,40,"spillover2","tt","spillover2 tt",5,0,130,130,80,"Ambiguous","Consistent",130
"30983",10,27,"spillover2","tt","spillover2 tt",8,0,334,334,80,"Unambiguous","Inconsistent",334
"30985",10,46,"spillover2","tt","spillover2 tt",7,0,2654,2654,80,"Ambiguous","Inconsistent",2654
"30987",10,42,"spillover2","tt","spillover2 tt",7,0,498,498,80,"Ambiguous","Inconsistent",498
"30989",10,37,"spillover2","tt","spillover2 tt",6,0,380,380,80,"Unambiguous","Consistent",380
"30991",10,28,"spillover2","tt","spillover2 tt",5,0,502,502,80,"Ambiguous","Consistent",502
"30993",10,35,"spillover2","tt","spillover2 tt",8,0,468,468,80,"Unambiguous","Inconsistent",468
"30995",10,48,"spillover2","tt","spillover2 tt",5,0,334,334,80,"Ambiguous","Consistent",334
"30997",10,33,"spillover2","tt","spillover2 tt",6,0,282,282,80,"Unambiguous","Consistent",282
"30999",10,25,"spillover2","tt","spillover2 tt",6,0,392,392,80,"Unambiguous","Consistent",392
"31001",10,29,"spillover2","tt","spillover2 tt",6,0,516,516,80,"Unambiguous","Consistent",516
"31003",10,31,"spillover2","tt","spillover2 tt",8,0,170,170,80,"Unambiguous","Inconsistent",170
"31005",10,44,"spillover2","tt","spillover2 tt",5,0,182,182,80,"Ambiguous","Consistent",182
"31007",10,34,"spillover2","tt","spillover2 tt",7,0,750,750,80,"Ambiguous","Inconsistent",750
"31009",10,26,"spillover2","tt","spillover2 tt",7,0,194,194,80,"Ambiguous","Inconsistent",194
"31011",10,39,"spillover2","tt","spillover2 tt",8,0,2250,2250,80,"Unambiguous","Inconsistent",2250
"31013",10,47,"spillover2","tt","spillover2 tt",8,0,1606,1606,80,"Unambiguous","Inconsistent",1606
"31015",10,38,"spillover2","tt","spillover2 tt",7,0,382,382,80,"Ambiguous","Inconsistent",382
"31017",10,45,"spillover2","tt","spillover2 tt",6,0,1064,1064,80,"Unambiguous","Consistent",1064
"31019",10,43,"spillover2","tt","spillover2 tt",8,0,190,190,80,"Unambiguous","Inconsistent",190
"31021",11,25,"spillover2","tt","spillover2 tt",7,0,1644,1644,80,"Ambiguous","Inconsistent",1644
"31023",11,45,"spillover2","tt","spillover2 tt",7,0,472,472,80,"Ambiguous","Inconsistent",472
"31025",11,26,"spillover2","tt","spillover2 tt",8,0,462,462,80,"Unambiguous","Inconsistent",462
"31027",11,46,"spillover2","tt","spillover2 tt",8,0,3536,3536,80,"Unambiguous","Inconsistent",NA
"31029",11,27,"spillover2","tt","spillover2 tt",5,0,1332,1332,80,"Ambiguous","Consistent",1332
"31031",11,31,"spillover2","tt","spillover2 tt",5,0,652,652,80,"Ambiguous","Consistent",652
"31033",11,41,"spillover2","tt","spillover2 tt",7,0,534,534,80,"Ambiguous","Inconsistent",534
"31035",11,30,"spillover2","tt","spillover2 tt",8,0,1282,1282,80,"Unambiguous","Inconsistent",1282
"31037",11,38,"spillover2","tt","spillover2 tt",8,0,528,528,80,"Unambiguous","Inconsistent",528
"31039",11,47,"spillover2","tt","spillover2 tt",5,0,2106,2106,80,"Ambiguous","Consistent",2106
"31041",11,36,"spillover2","tt","spillover2 tt",6,0,976,976,80,"Unambiguous","Consistent",976
"31043",11,37,"spillover2","tt","spillover2 tt",7,0,1542,1542,80,"Ambiguous","Inconsistent",1542
"31045",11,32,"spillover2","tt","spillover2 tt",6,0,902,902,80,"Unambiguous","Consistent",902
"31047",11,44,"spillover2","tt","spillover2 tt",6,0,736,736,80,"Unambiguous","Consistent",736
"31049",11,43,"spillover2","tt","spillover2 tt",5,0,510,510,80,"Ambiguous","Consistent",510
"31051",11,28,"spillover2","tt","spillover2 tt",6,0,738,738,80,"Unambiguous","Consistent",738
"31053",11,48,"spillover2","tt","spillover2 tt",6,0,448,448,80,"Unambiguous","Consistent",448
"31055",11,42,"spillover2","tt","spillover2 tt",8,0,868,868,80,"Unambiguous","Inconsistent",868
"31057",11,40,"spillover2","tt","spillover2 tt",6,0,566,566,80,"Unambiguous","Consistent",566
"31059",11,35,"spillover2","tt","spillover2 tt",5,0,1280,1280,80,"Ambiguous","Consistent",1280
"31061",11,33,"spillover2","tt","spillover2 tt",7,0,614,614,80,"Ambiguous","Inconsistent",614
"31063",11,39,"spillover2","tt","spillover2 tt",5,0,520,520,80,"Ambiguous","Consistent",520
"31065",11,29,"spillover2","tt","spillover2 tt",7,0,204,204,80,"Ambiguous","Inconsistent",204
"31067",11,34,"spillover2","tt","spillover2 tt",8,0,448,448,80,"Unambiguous","Inconsistent",448
