"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"322",7,41,"disamb","fp","disamb fp",7,0,285,285,71,"Ambiguous","Inconsistent",285
"324",7,25,"disamb","fp","disamb fp",7,0,244,244,71,"Ambiguous","Inconsistent",244
"326",7,40,"disamb","fp","disamb fp",6,0,373,373,71,"Unambiguous","Consistent",373
"328",7,43,"disamb","fp","disamb fp",5,0,583,583,71,"Ambiguous","Consistent",583
"330",7,46,"disamb","fp","disamb fp",8,0,349,349,71,"Unambiguous","Inconsistent",349
"332",8,41,"disamb","fp","disamb fp",8,0,184,184,71,"Unambiguous","Inconsistent",184
"334",8,43,"disamb","fp","disamb fp",6,0,304,304,71,"Unambiguous","Consistent",304
"336",8,48,"disamb","fp","disamb fp",7,0,510,510,71,"Ambiguous","Inconsistent",510
"338",8,44,"disamb","fp","disamb fp",7,0,786,786,71,"Ambiguous","Inconsistent",786
"340",8,28,"disamb","fp","disamb fp",7,0,318,318,71,"Ambiguous","Inconsistent",318
"342",8,45,"disamb","fp","disamb fp",8,0,310,310,71,"Unambiguous","Inconsistent",310
"344",8,27,"disamb","fp","disamb fp",6,0,518,518,71,"Unambiguous","Consistent",518
"346",8,47,"disamb","fp","disamb fp",6,0,206,206,71,"Unambiguous","Consistent",206
"348",8,36,"disamb","fp","disamb fp",7,1,0,NA,71,"Ambiguous","Inconsistent",NA
"350",8,35,"disamb","fp","disamb fp",6,0,388,388,71,"Unambiguous","Consistent",388
"352",8,31,"disamb","fp","disamb fp",6,0,280,280,71,"Unambiguous","Consistent",280
"354",8,33,"disamb","fp","disamb fp",8,0,268,268,71,"Unambiguous","Inconsistent",268
"356",8,30,"disamb","fp","disamb fp",5,0,308,308,71,"Ambiguous","Consistent",308
"358",8,29,"disamb","fp","disamb fp",8,0,726,726,71,"Unambiguous","Inconsistent",726
"360",8,46,"disamb","fp","disamb fp",5,0,236,236,71,"Ambiguous","Consistent",236
"362",8,40,"disamb","fp","disamb fp",7,0,286,286,71,"Ambiguous","Inconsistent",286
"364",8,34,"disamb","fp","disamb fp",5,0,452,452,71,"Ambiguous","Consistent",452
"366",8,25,"disamb","fp","disamb fp",8,0,338,338,71,"Unambiguous","Inconsistent",338
"368",8,38,"disamb","fp","disamb fp",5,1,0,NA,71,"Ambiguous","Consistent",NA
"370",8,26,"disamb","fp","disamb fp",5,0,836,836,71,"Ambiguous","Consistent",836
"372",8,42,"disamb","fp","disamb fp",5,0,636,636,71,"Ambiguous","Consistent",636
"374",8,37,"disamb","fp","disamb fp",8,0,516,516,71,"Unambiguous","Inconsistent",516
"376",8,32,"disamb","fp","disamb fp",7,0,394,394,71,"Ambiguous","Inconsistent",394
"378",8,39,"disamb","fp","disamb fp",6,0,320,320,71,"Unambiguous","Consistent",320
"380",9,29,"disamb","fp","disamb fp",5,0,168,168,71,"Ambiguous","Consistent",168
"382",9,31,"disamb","fp","disamb fp",7,0,254,254,71,"Ambiguous","Inconsistent",254
"384",9,44,"disamb","fp","disamb fp",8,0,398,398,71,"Unambiguous","Inconsistent",398
"386",9,32,"disamb","fp","disamb fp",8,0,298,298,71,"Unambiguous","Inconsistent",298
"388",9,26,"disamb","fp","disamb fp",6,0,414,414,71,"Unambiguous","Consistent",414
"390",9,33,"disamb","fp","disamb fp",5,0,410,410,71,"Ambiguous","Consistent",410
"392",9,47,"disamb","fp","disamb fp",7,0,440,440,71,"Ambiguous","Inconsistent",440
"394",9,45,"disamb","fp","disamb fp",5,0,512,512,71,"Ambiguous","Consistent",512
"396",9,37,"disamb","fp","disamb fp",5,0,742,742,71,"Ambiguous","Consistent",742
"398",9,46,"disamb","fp","disamb fp",6,0,318,318,71,"Unambiguous","Consistent",318
"400",9,25,"disamb","fp","disamb fp",5,0,370,370,71,"Ambiguous","Consistent",370
"402",9,40,"disamb","fp","disamb fp",8,0,282,282,71,"Unambiguous","Inconsistent",282
"404",9,27,"disamb","fp","disamb fp",7,0,358,358,71,"Ambiguous","Inconsistent",358
"406",9,41,"disamb","fp","disamb fp",5,0,442,442,71,"Ambiguous","Consistent",442
"408",9,30,"disamb","fp","disamb fp",6,0,270,270,71,"Unambiguous","Consistent",270
"410",9,38,"disamb","fp","disamb fp",6,0,290,290,71,"Unambiguous","Consistent",290
"412",9,39,"disamb","fp","disamb fp",7,0,270,270,71,"Ambiguous","Inconsistent",270
