"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"5325",7,41,"spillover2","fp",77,"High","spillover2 fp",7,0,662,662,"Ambiguous","Inconsistent",662
"5327",7,25,"spillover2","fp",77,"High","spillover2 fp",7,0,404,404,"Ambiguous","Inconsistent",404
"5329",7,40,"spillover2","fp",77,"High","spillover2 fp",6,1,0,NA,"Unambiguous","Consistent",NA
"5331",7,43,"spillover2","fp",77,"High","spillover2 fp",5,0,130,130,"Ambiguous","Consistent",130
"5333",7,46,"spillover2","fp",77,"High","spillover2 fp",8,0,1439,1439,"Unambiguous","Inconsistent",NA
"6151",8,41,"spillover2","fp",70,"High","spillover2 fp",8,0,236,236,"Unambiguous","Inconsistent",236
"6153",8,43,"spillover2","fp",70,"High","spillover2 fp",6,0,296,296,"Unambiguous","Consistent",296
"6155",8,48,"spillover2","fp",70,"High","spillover2 fp",7,0,184,184,"Ambiguous","Inconsistent",184
"6157",8,44,"spillover2","fp",70,"High","spillover2 fp",7,0,230,230,"Ambiguous","Inconsistent",230
"6159",8,28,"spillover2","fp",70,"High","spillover2 fp",7,0,282,282,"Ambiguous","Inconsistent",282
"6161",8,45,"spillover2","fp",70,"High","spillover2 fp",8,0,284,284,"Unambiguous","Inconsistent",284
"6163",8,27,"spillover2","fp",70,"High","spillover2 fp",6,0,240,240,"Unambiguous","Consistent",240
"6165",8,47,"spillover2","fp",70,"High","spillover2 fp",6,0,560,560,"Unambiguous","Consistent",560
"6167",8,36,"spillover2","fp",70,"High","spillover2 fp",7,0,458,458,"Ambiguous","Inconsistent",458
"6169",8,35,"spillover2","fp",70,"High","spillover2 fp",6,0,542,542,"Unambiguous","Consistent",542
"6171",8,31,"spillover2","fp",70,"High","spillover2 fp",6,0,228,228,"Unambiguous","Consistent",228
"6173",8,33,"spillover2","fp",70,"High","spillover2 fp",8,0,294,294,"Unambiguous","Inconsistent",294
"6175",8,30,"spillover2","fp",70,"High","spillover2 fp",5,0,186,186,"Ambiguous","Consistent",186
"6177",8,29,"spillover2","fp",70,"High","spillover2 fp",8,0,360,360,"Unambiguous","Inconsistent",360
"6179",8,46,"spillover2","fp",70,"High","spillover2 fp",5,0,364,364,"Ambiguous","Consistent",364
"6181",8,40,"spillover2","fp",70,"High","spillover2 fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"6183",8,34,"spillover2","fp",70,"High","spillover2 fp",5,0,424,424,"Ambiguous","Consistent",424
"6185",8,25,"spillover2","fp",70,"High","spillover2 fp",8,0,340,340,"Unambiguous","Inconsistent",340
"6187",8,38,"spillover2","fp",70,"High","spillover2 fp",5,0,380,380,"Ambiguous","Consistent",380
"6189",8,26,"spillover2","fp",70,"High","spillover2 fp",5,0,356,356,"Ambiguous","Consistent",356
"6191",8,42,"spillover2","fp",70,"High","spillover2 fp",5,0,876,876,"Ambiguous","Consistent",876
"6193",8,37,"spillover2","fp",70,"High","spillover2 fp",8,0,324,324,"Unambiguous","Inconsistent",324
"6195",8,32,"spillover2","fp",70,"High","spillover2 fp",7,0,548,548,"Ambiguous","Inconsistent",548
"6197",8,39,"spillover2","fp",70,"High","spillover2 fp",6,0,306,306,"Unambiguous","Consistent",306
"7015",9,29,"spillover2","fp",70,"High","spillover2 fp",5,0,370,370,"Ambiguous","Consistent",370
"7017",9,31,"spillover2","fp",70,"High","spillover2 fp",7,0,878,878,"Ambiguous","Inconsistent",878
"7019",9,44,"spillover2","fp",70,"High","spillover2 fp",8,0,248,248,"Unambiguous","Inconsistent",248
"7021",9,32,"spillover2","fp",70,"High","spillover2 fp",8,0,786,786,"Unambiguous","Inconsistent",786
"7023",9,26,"spillover2","fp",70,"High","spillover2 fp",6,0,250,250,"Unambiguous","Consistent",250
"7025",9,33,"spillover2","fp",70,"High","spillover2 fp",5,0,360,360,"Ambiguous","Consistent",360
"7027",9,47,"spillover2","fp",70,"High","spillover2 fp",7,0,468,468,"Ambiguous","Inconsistent",468
"7029",9,45,"spillover2","fp",70,"High","spillover2 fp",5,0,402,402,"Ambiguous","Consistent",402
"7031",9,37,"spillover2","fp",70,"High","spillover2 fp",5,0,538,538,"Ambiguous","Consistent",538
"7033",9,46,"spillover2","fp",70,"High","spillover2 fp",6,0,874,874,"Unambiguous","Consistent",874
"7035",9,25,"spillover2","fp",70,"High","spillover2 fp",5,0,814,814,"Ambiguous","Consistent",814
"7037",9,40,"spillover2","fp",70,"High","spillover2 fp",8,0,294,294,"Unambiguous","Inconsistent",294
"7039",9,27,"spillover2","fp",70,"High","spillover2 fp",7,0,284,284,"Ambiguous","Inconsistent",284
"7041",9,41,"spillover2","fp",70,"High","spillover2 fp",5,0,218,218,"Ambiguous","Consistent",218
"7043",9,30,"spillover2","fp",70,"High","spillover2 fp",6,0,260,260,"Unambiguous","Consistent",260
"7045",9,38,"spillover2","fp",70,"High","spillover2 fp",6,0,446,446,"Unambiguous","Consistent",446
"7047",9,39,"spillover2","fp",70,"High","spillover2 fp",7,0,468,468,"Ambiguous","Inconsistent",468
"7049",9,43,"spillover2","fp",70,"High","spillover2 fp",7,0,542,542,"Ambiguous","Inconsistent",542
"7051",9,28,"spillover2","fp",70,"High","spillover2 fp",8,0,894,894,"Unambiguous","Inconsistent",894
"7053",9,34,"spillover2","fp",70,"High","spillover2 fp",6,0,340,340,"Unambiguous","Consistent",340
"7055",9,36,"spillover2","fp",70,"High","spillover2 fp",8,0,294,294,"Unambiguous","Inconsistent",294
"7057",9,35,"spillover2","fp",70,"High","spillover2 fp",7,0,576,576,"Ambiguous","Inconsistent",576
"7059",9,48,"spillover2","fp",70,"High","spillover2 fp",8,0,464,464,"Unambiguous","Inconsistent",464
"7061",9,42,"spillover2","fp",70,"High","spillover2 fp",6,0,510,510,"Unambiguous","Consistent",510
"7880",10,30,"spillover2","fp",63,"High","spillover2 fp",7,0,210,210,"Ambiguous","Inconsistent",210
"7882",10,32,"spillover2","fp",63,"High","spillover2 fp",5,0,766,766,"Ambiguous","Consistent",766
"7884",10,41,"spillover2","fp",63,"High","spillover2 fp",6,0,222,222,"Unambiguous","Consistent",222
"7886",10,36,"spillover2","fp",63,"High","spillover2 fp",5,0,256,256,"Ambiguous","Consistent",256
"7888",10,40,"spillover2","fp",63,"High","spillover2 fp",5,0,130,130,"Ambiguous","Consistent",130
"7890",10,27,"spillover2","fp",63,"High","spillover2 fp",8,0,146,146,"Unambiguous","Inconsistent",146
"7892",10,46,"spillover2","fp",63,"High","spillover2 fp",7,0,294,294,"Ambiguous","Inconsistent",294
"7894",10,42,"spillover2","fp",63,"High","spillover2 fp",7,0,498,498,"Ambiguous","Inconsistent",498
"7896",10,37,"spillover2","fp",63,"High","spillover2 fp",6,0,380,380,"Unambiguous","Consistent",380
"7898",10,28,"spillover2","fp",63,"High","spillover2 fp",5,0,272,272,"Ambiguous","Consistent",272
"7900",10,35,"spillover2","fp",63,"High","spillover2 fp",8,0,468,468,"Unambiguous","Inconsistent",468
"7902",10,48,"spillover2","fp",63,"High","spillover2 fp",5,0,334,334,"Ambiguous","Consistent",334
"7904",10,33,"spillover2","fp",63,"High","spillover2 fp",6,0,282,282,"Unambiguous","Consistent",282
"7906",10,25,"spillover2","fp",63,"High","spillover2 fp",6,0,392,392,"Unambiguous","Consistent",392
"7908",10,29,"spillover2","fp",63,"High","spillover2 fp",6,0,180,180,"Unambiguous","Consistent",180
"7910",10,31,"spillover2","fp",63,"High","spillover2 fp",8,0,170,170,"Unambiguous","Inconsistent",170
"7912",10,44,"spillover2","fp",63,"High","spillover2 fp",5,0,182,182,"Ambiguous","Consistent",182
"7914",10,34,"spillover2","fp",63,"High","spillover2 fp",7,0,244,244,"Ambiguous","Inconsistent",244
"7916",10,26,"spillover2","fp",63,"High","spillover2 fp",7,0,194,194,"Ambiguous","Inconsistent",194
"7918",10,39,"spillover2","fp",63,"High","spillover2 fp",8,0,904,904,"Unambiguous","Inconsistent",904
"7920",10,47,"spillover2","fp",63,"High","spillover2 fp",8,0,516,516,"Unambiguous","Inconsistent",516
"7922",10,38,"spillover2","fp",63,"High","spillover2 fp",7,0,382,382,"Ambiguous","Inconsistent",382
"7924",10,45,"spillover2","fp",63,"High","spillover2 fp",6,0,542,542,"Unambiguous","Consistent",542
"7926",10,43,"spillover2","fp",63,"High","spillover2 fp",8,0,190,190,"Unambiguous","Inconsistent",190
"8744",11,25,"spillover2","fp",75,"High","spillover2 fp",7,0,690,690,"Ambiguous","Inconsistent",690
"8746",11,45,"spillover2","fp",75,"High","spillover2 fp",7,0,472,472,"Ambiguous","Inconsistent",472
"8748",11,26,"spillover2","fp",75,"High","spillover2 fp",8,0,300,300,"Unambiguous","Inconsistent",300
"8750",11,46,"spillover2","fp",75,"High","spillover2 fp",8,0,1040,1040,"Unambiguous","Inconsistent",1040
"8752",11,27,"spillover2","fp",75,"High","spillover2 fp",5,0,184,184,"Ambiguous","Consistent",184
"8754",11,31,"spillover2","fp",75,"High","spillover2 fp",5,0,492,492,"Ambiguous","Consistent",492
"8756",11,41,"spillover2","fp",75,"High","spillover2 fp",7,0,358,358,"Ambiguous","Inconsistent",358
"8758",11,30,"spillover2","fp",75,"High","spillover2 fp",8,0,426,426,"Unambiguous","Inconsistent",426
"8760",11,38,"spillover2","fp",75,"High","spillover2 fp",8,0,528,528,"Unambiguous","Inconsistent",528
"8762",11,47,"spillover2","fp",75,"High","spillover2 fp",5,0,1210,1210,"Ambiguous","Consistent",1210
"8764",11,36,"spillover2","fp",75,"High","spillover2 fp",6,0,288,288,"Unambiguous","Consistent",288
"8766",11,37,"spillover2","fp",75,"High","spillover2 fp",7,0,342,342,"Ambiguous","Inconsistent",342
"8768",11,32,"spillover2","fp",75,"High","spillover2 fp",6,0,246,246,"Unambiguous","Consistent",246
"8770",11,44,"spillover2","fp",75,"High","spillover2 fp",6,0,206,206,"Unambiguous","Consistent",206
"8772",11,43,"spillover2","fp",75,"High","spillover2 fp",5,0,510,510,"Ambiguous","Consistent",510
"8774",11,28,"spillover2","fp",75,"High","spillover2 fp",6,0,430,430,"Unambiguous","Consistent",430
"8776",11,48,"spillover2","fp",75,"High","spillover2 fp",6,0,448,448,"Unambiguous","Consistent",448
"8778",11,42,"spillover2","fp",75,"High","spillover2 fp",8,0,162,162,"Unambiguous","Inconsistent",162
"8780",11,40,"spillover2","fp",75,"High","spillover2 fp",6,0,216,216,"Unambiguous","Consistent",216
"8782",11,35,"spillover2","fp",75,"High","spillover2 fp",5,0,720,720,"Ambiguous","Consistent",720
"8784",11,33,"spillover2","fp",75,"High","spillover2 fp",7,0,452,452,"Ambiguous","Inconsistent",452
"8786",11,39,"spillover2","fp",75,"High","spillover2 fp",5,0,520,520,"Ambiguous","Consistent",520
"8788",11,29,"spillover2","fp",75,"High","spillover2 fp",7,0,204,204,"Ambiguous","Inconsistent",204
"8790",11,34,"spillover2","fp",75,"High","spillover2 fp",8,0,448,448,"Unambiguous","Inconsistent",448
"9608",12,33,"spillover2","fp",63,"High","spillover2 fp",6,0,507,507,"Unambiguous","Consistent",507
"9610",12,34,"spillover2","fp",63,"High","spillover2 fp",7,0,110,110,"Ambiguous","Inconsistent",110
"9612",12,43,"spillover2","fp",63,"High","spillover2 fp",8,0,208,208,"Unambiguous","Inconsistent",208
"9614",12,35,"spillover2","fp",63,"High","spillover2 fp",8,0,416,416,"Unambiguous","Inconsistent",416
"9616",12,38,"spillover2","fp",63,"High","spillover2 fp",7,0,314,314,"Ambiguous","Inconsistent",314
"9618",12,44,"spillover2","fp",63,"High","spillover2 fp",5,1,0,NA,"Ambiguous","Consistent",NA
"9620",12,25,"spillover2","fp",63,"High","spillover2 fp",6,0,188,188,"Unambiguous","Consistent",188
"9622",12,36,"spillover2","fp",63,"High","spillover2 fp",5,1,0,NA,"Ambiguous","Consistent",NA
"9624",12,28,"spillover2","fp",63,"High","spillover2 fp",5,0,206,206,"Ambiguous","Consistent",206
"9626",12,31,"spillover2","fp",63,"High","spillover2 fp",8,0,270,270,"Unambiguous","Inconsistent",270
